Manufacturer,Model,Score
HP,EliteBook x360 830 G7,9
HP,EliteBook 840 G7,9
EliteBook,800 G5,10
HP,ProBook 440 G7,9
HP,Elitebook x360 1040 G5,6
MacBook,"Pro 16"" 2019",1
Microsoft,"Surface Laptop 3 15""",5
MacBook,"Pro 13"" Two Thunderbolt Ports 2019",2
HP,EliteBook x360 830 G5,9
HP,EliteBook 840 G6,10
HP,EliteBook 830 x360 G6,9
MacBook,"Pro 15"" Touch Bar 2019",1
HP,EliteBook 1050 G1,9
MacBook,Air 13” Retina Display Late 2018,3
MacBook,"Pro 15"" Touch Bar 2018",1
MacBook,"Pro 13"" Touch Bar 2018",1
Dell,Latitude E5270,10
HP,EliteBook 840 G3,10
Samsung,"Series 9 15""",9
LG,"Gram 15""",9
Acer,"Predator 17.3""",8
Dell,XPS 13,7
Microsoft,Surface Laptop,0
MacBook,"Pro 13"" Touch Bar 2017",1
Retina,MacBook 2017,1
MacBook,"Pro 15"" Touch Bar Late 2016",1
MacBook,"Pro 13"" Touch Bar Late 2016",1
MacBook,"Pro 13"" Function Keys Late 2016",2
Retina,MacBook 2016,1
Asus,Chromebook C202,9
Retina,MacBook 2015,1
MacBook,"Pro 13"" Retina Display Early 2015",1
MacBook,"Air 13"" Early 2015",4
MacBook,"Air 11"" Early 2015",4
MacBook,"Pro 13"" Retina Display Late 2013",1
MacBook,"Pro 15"" Retina Display Late 2013",1
MacBook,"Air 11"" Mid 2013",4
MacBook,"Air 13"" Mid 2013",4
Dell,Inspiron Duo,7
MacBook,"Pro 13"" Retina Display Late 2012",2
Asus,Zenbook UX32VD,8
MacBook,"Pro 15"" Unibody Mid 2012",7
MacBook,"Pro 15"" Retina Display Mid 2012",1
MacBook,"Air 13"" Mid 2012",4
MacBook,"Air 13"" Mid 2011",4
MacBook,"Pro 15"" Unibody Early 2011",7
MacBook,"Air 11"" Late 2010",4
